Date,Away,Home,Time,Where,,AL East,AL Central,AL West,NL East,NL Central,NL West,,To Watch,,Live Standings from ESPN.com,,L8,Team
Fri Mar 6,Nicaragua,Dominican Rep,3:20,WBC Sportsnet,,Dodgers,White Sox,Athletics,Braves,Mets,Marlins,,Angels,,,,s Angels,Angels
Sun Mar 8,Panama,Canada,3:08,WBC Sportsnet,,Giants,Reds,Brewers,Cardinals,Red Sox,Tigers,,Astros,,LADLos Angeles Dodgers,,n Astros,Astros
Tue Mar 10,Canada,Puerto Rico,2:54,WBC Sportsnet,,Rangers,Padres,Cubs,Yankees,Orioles,Phillies,,Athletics,,SFSan Francisco Giants,,thletics,Athletics
Fri Mar 13,USA,Canada,2:55,WBC Sportsnet,,Angels,Guardians,Mariners,Pirates,Astros,Rays,,Blue Jays,,TEXTexas Rangers,,lue Jays,Blue Jays
Sun Mar 15,USA,Dominican Rep,2:55,WBC Sportsnet,,Diamondbacks,Rockies,Royals,Nationals,Blue Jays,Twins,,Braves,,LAALos Angeles Angels,,a Braves,Braves
Mon Mar 16,Venezuela,Italy,2:42,WBC Sportsnet,,,,,,,,,Brewers,,ARIArizona Diamondbacks,, Brewers,Brewers
Tue Mar 17,Venezuela,USA,2:34,WBC Sportsnet,,MLB Probable Pitchers,,,,,,,Cardinals,,CHWChicago White Sox,,ardinals,Cardinals
,Pirates,Cubs,,,,Today's Previews and Game Times,,,,,,,Diamondbacks,,CINCincinnati Reds,,ago Cubs,Cubs
,,,,,,Live Scoreboards and Odds,,,,,,,Dodgers,,SDSan Diego Padres,,ondbacks,Diamondbacks
,,,,,,,,,,,,,Giants,,CLECleveland Guardians,, Dodgers,Dodgers
,,,,,,Games:,7,,,,,,Guardians,,COLColorado Rockies,,o Giants,Giants
,,,,,,Teams:,10,(28 to go),,,,,Mariners,,ATHAthletics,,uardians,Guardians
,,,,,,Game time:,2:55,2:55 (median),,,,,Marlins,,MILMilwaukee Brewers,,Mariners,Mariners
,,,,,,,,,,,,,Mets,,CHCChicago Cubs,, Marlins,Marlins
,,,,,,,,,,,,,Nationals,,SEASeattle Mariners,,ork Mets,Mets
,,,,,,watch Tigers home game with Jason Benetti calling,,,,,,,Orioles,,KCKansas City Royals,,ationals,Nationals
,,,,,,Brewers: look for Jacob Misiorowski start,,,,,,,Padres,,,, Orioles,Orioles
,,,,,,,,,,,,,Phillies,,,,o Padres,Padres
,,,,,,Apps:,,,,,,,Rangers,,,,Phillies,Phillies
,,,,,,https://mlbgames.lovable.app/,,,,,,,Rays,,ATLAtlanta Braves,, Pirates,Pirates
,,,,,,https://baseballtracker-czeyy16.public.builtwithrocket.new/game-tracker-dashboard,,,,,,,Red Sox,,STLSt. Louis Cardinals,, Rangers,Rangers
,,,,,,,,,,,,,Reds,,NYYNew York Yankees,,Bay Rays,Rays
,,,,,,,,,,,,,Rockies,,PITPittsburgh Pirates,, Red Sox,Red Sox
,,,,,,,,,,,,,Royals,,WSHWashington Nationals,,ati Reds,Reds
,,,,,,Next steps:,,,,,,,Tigers,,NYMNew York Mets,, Rockies,Rockies
,,,,,,Is there a page that tells you which games have the best story? Fangraphs?,,,,,,,Twins,,BOSBoston Red Sox,,y Royals,Royals
,,,,,,Neither app seems to be updating against the list in column N,,,,,,,White Sox,,BALBaltimore Orioles,,t Tigers,Tigers
,,,,,,,,,,,,,Yankees,,HOUHouston Astros,,ta Twins,Twins
,,,,,,,,,,,,,,,TORToronto Blue Jays,,hite Sox,White Sox
,,,,,,,,,,,,,,,MIAMiami Marlins,, Yankees,Yankees
,,,,,,,,,,,,,,,DETDetroit Tigers,,,
,,,,,,,,,,,,,,,PHIPhiladelphia Phillies,,,
,,,,,,,,,,,,,,,TBTampa Bay Rays,,,
,,,,,,,,,,,,,,,MINMinnesota Twins,,,
